Ligand,Affinity,Receptor
Ligand_0030.pdbqt,0.0,1NEN
Ligand_0031.pdbqt,0.0,1NEN
Ligand_0032.pdbqt,0.0,1NEN
Ligand_0017.pdbqt,0.0,1NEN
Ligand_0018.pdbqt,0.0,1NEN
Ligand_0019.pdbqt,0.0,1NEN
Ligand_0020.pdbqt,0.0,1NEN
Ligand_0021.pdbqt,0.0,1NEN
Ligand_0022.pdbqt,0.0,1NEN
Ligand_0023.pdbqt,0.0,1NEN
Ligand_0024.pdbqt,0.0,1NEN
Ligand_0009.pdbqt,0.0,1NEN
Ligand_0010.pdbqt,0.0,1NEN
Ligand_0011.pdbqt,0.0,1NEN
Ligand_0012.pdbqt,0.0,1NEN
Ligand_0013.pdbqt,0.0,1NEN
Ligand_0014.pdbqt,0.0,1NEN
Ligand_0015.pdbqt,0.0,1NEN
Ligand_0016.pdbqt,0.0,1NEN
Ligand_0001.pdbqt,0.0,1NEN
Ligand_0002.pdbqt,0.0,1NEN
Ligand_0003.pdbqt,0.0,1NEN
Ligand_0004.pdbqt,0.0,1NEN
Ligand_0005.pdbqt,0.0,1NEN
Ligand_0006.pdbqt,0.0,1NEN
Ligand_0007.pdbqt,0.0,1NEN
Ligand_0008.pdbqt,0.0,1NEN
Ligand_0057.pdbqt,0.0,1NEN
Ligand_0058.pdbqt,0.0,1NEN
Ligand_0059.pdbqt,0.0,1NEN
Ligand_0060.pdbqt,0.0,1NEN
Ligand_0061.pdbqt,0.0,1NEN
Ligand_0062.pdbqt,0.0,1NEN
Ligand_0063.pdbqt,0.0,1NEN
Ligand_0064.pdbqt,0.0,1NEN
Ligand_0049.pdbqt,0.0,1NEN
Ligand_0050.pdbqt,0.0,1NEN
Ligand_0051.pdbqt,0.0,1NEN
Ligand_0052.pdbqt,0.0,1NEN
Ligand_0053.pdbqt,0.0,1NEN
Ligand_0054.pdbqt,0.0,1NEN
Ligand_0055.pdbqt,0.0,1NEN
Ligand_0056.pdbqt,0.0,1NEN
Ligand_0041.pdbqt,0.0,1NEN
Ligand_0042.pdbqt,0.0,1NEN
Ligand_0043.pdbqt,0.0,1NEN
Ligand_0044.pdbqt,0.0,1NEN
Ligand_0045.pdbqt,0.0,1NEN
Ligand_0046.pdbqt,0.0,1NEN
Ligand_0047.pdbqt,0.0,1NEN
Ligand_0048.pdbqt,0.0,1NEN
Ligand_0033.pdbqt,0.0,1NEN
Ligand_0034.pdbqt,0.0,1NEN
Ligand_0035.pdbqt,0.0,1NEN
Ligand_0036.pdbqt,0.0,1NEN
Ligand_0037.pdbqt,0.0,1NEN
